Name,Rank,ID
Gloomhaven,1,174430
Pandemic Legacy: Season 1,2,161936
Through the Ages: A New Story of Civilization,3,182028
Terraforming Mars,4,167791
Twilight Struggle,5,12333
Star Wars: Rebellion,6,187645
Scythe,7,169786
Gaia Project,8,220308
Great Western Trail,9,193738
Terra Mystica,10,120677
The Castles of Burgundy,11,84876
War of the Ring (Second Edition),12,115746
7 Wonders Duel,13,173346
The 7th Continent,14,180263
Twilight Imperium (Fourth Edition),15,233078
Puerto Rico,16,3076
Caverna: The Cave Farmers,17,102794
Arkham Horror: The Card Game,18,205637
Viticulture Essential Edition,19,183394
Concordia,20,124361
Agricola,21,31260
Mage Knight Board Game,22,96848
Spirit Island,23,162886
Mansions of Madness: Second Edition,24,205059
Brass: Lancashire,25,28720
Orléans,26,164928
Blood Rage,27,170216
Food Chain Magnate,28,175914
Mechs vs. Minions,29,209010
A Feast for Odin,30,177736
Star Wars: Imperial Assault,31,164153
Through the Ages: A Story of Civilization,32,25613
Power Grid,33,2651
Kingdom Death: Monster,34,55690
Pandemic Legacy: Season 2,35,221107
Eclipse,36,72125
Azul,37,230802
Tzolk'in: The Mayan Calendar,38,126163
Le Havre,39,35677
Robinson Crusoe: Adventures on the Cursed Island,40,121921
The Voyages of Marco Polo,41,171623
Android: Netrunner,42,124742
Brass: Birmingham,43,224517
7 Wonders,44,68448
Keyflower,45,122515
Clans of Caledonia,46,216132
Caylus,47,18602
Race for the Galaxy,48,28143
Dominant Species,49,62219
Twilight Imperium (Third Edition),50,12493
Fields of Arle,51,159675
Codenames,52,178900
Eldritch Horror,53,146021
Lords of Waterdeep,54,110327
Five Tribes,55,157354
Rising Sun,56,205896
El Grande,57,93
T.I.M.E Stories,58,146508
Patchwork,59,163412
Dominion: Intrigue,60,40834
Clank!: A Deck-Building Adventure,61,201808
Roll for the Galaxy,62,132531
Anachrony,63,185343
The Gallerist,64,125153
Mombasa,65,172386
Battlestar Galactica: The Board Game,66,37111
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,67,2511
Troyes,68,73439
Star Wars: X-Wing Miniatures Game,69,103885
Russian Railroads,70,144733
Tigris & Euphrates,71,42
Dead of Winter: A Crossroads Game,72,150376
Trajan,73,102680
Dominion,74,36218
Pandemic,75,30549
Kemet,76,127023
Crokinole,77,521
Pandemic: Iberia,78,198928
Descent: Journeys in the Dark (Second Edition),79,104162
